"","threshold","specificity","sensitivity","model","val_sens","val_spec","set_specificity","set"
"91",0.105953537839969,0.752747252747253,0.923076923076923,"Screening DELFI+CA125+HE4",1,0.818181818181818,0.75,"Stage II"
"92",16.885,0.752747252747253,0.923076923076923,"ca125",1,0.909090909090909,0.75,"Stage II"
"93",64.985,0.752747252747253,0.884615384615385,"he4",0.8,0.909090909090909,0.75,"Stage II"
"94",0.0914161768107754,0.703296703296703,0.961538461538462,"Screening DELFI+CA125+HE4",1,0.681818181818182,0.7,"Stage II"
"95",16.05,0.703296703296703,1,"ca125",1,0.909090909090909,0.7,"Stage II"
"96",60.42,0.703296703296703,0.884615384615385,"he4",0.8,0.863636363636364,0.7,"Stage II"
"97",0.655097700609212,1,0.866666666666667,"Screening DELFI+CA125+HE4",0.727272727272727,1,1,"Stage III"
"98",128.5,1,0.633333333333333,"ca125",0.636363636363636,1,1,"Stage III"
"99",212.8,1,0.666666666666667,"he4",0.363636363636364,1,1,"Stage III"
"100",0.516246620912448,0.994505494505495,0.866666666666667,"Screening DELFI+CA125+HE4",0.727272727272727,1,0.99,"Stage III"
"101",49.925,0.994505494505495,0.9,"ca125",0.818181818181818,1,0.99,"Stage III"
"102",199,0.994505494505495,0.7,"he4",0.363636363636364,1,0.99,"Stage III"
"103",0.269727834895655,0.950549450549451,0.933333333333333,"Screening DELFI+CA125+HE4",0.818181818181818,1,0.95,"Stage III"
"104",26.005,0.950549450549451,0.966666666666667,"ca125",0.818181818181818,0.954545454545455,0.95,"Stage III"
"105",110.9,0.950549450549451,0.8,"he4",0.818181818181818,1,0.95,"Stage III"
"106",0.18589117226155,0.901098901098901,0.966666666666667,"Screening DELFI+CA125+HE4",0.818181818181818,1,0.9,"Stage III"
"107",23.375,0.906593406593407,0.966666666666667,"ca125",0.818181818181818,0.954545454545455,0.9,"Stage III"
"108",85.27,0.901098901098901,0.9,"he4",0.818181818181818,1,0.9,"Stage III"
"109",0.152066501312613,0.851648351648352,1,"Screening DELFI+CA125+HE4",0.909090909090909,1,0.85,"Stage III"
"110",19.89,0.851648351648352,1,"ca125",0.818181818181818,0.954545454545455,0.85,"Stage III"
