"","threshold","specificity","sensitivity","model","val_sens","val_spec","set_specificity","set"
"95",16.05,0.703296703296703,1,"ca125",0.8,0.909090909090909,0.7,"Stage III HGSOC"
"96",60.42,0.703296703296703,1,"he4",1,0.863636363636364,0.7,"Stage III HGSOC"
"97",0.655097700609212,1,1,"Screening DELFI+CA125+HE4",1,1,1,"Stage IV HGSOC"
"98",128.5,1,1,"ca125",0.666666666666667,1,1,"Stage IV HGSOC"
"99",212.8,1,1,"he4",1,1,1,"Stage IV HGSOC"
"100",0.516246620912448,0.994505494505495,1,"Screening DELFI+CA125+HE4",1,1,0.99,"Stage IV HGSOC"
"101",49.925,0.994505494505495,1,"ca125",1,1,0.99,"Stage IV HGSOC"
"102",199,0.994505494505495,1,"he4",1,1,0.99,"Stage IV HGSOC"
"103",0.269727834895655,0.950549450549451,1,"Screening DELFI+CA125+HE4",1,1,0.95,"Stage IV HGSOC"
"104",26.005,0.950549450549451,1,"ca125",1,0.954545454545455,0.95,"Stage IV HGSOC"
"105",110.9,0.950549450549451,1,"he4",1,1,0.95,"Stage IV HGSOC"
"106",0.18589117226155,0.901098901098901,1,"Screening DELFI+CA125+HE4",1,1,0.9,"Stage IV HGSOC"
"107",23.375,0.906593406593407,1,"ca125",1,0.954545454545455,0.9,"Stage IV HGSOC"
"108",85.27,0.901098901098901,1,"he4",1,1,0.9,"Stage IV HGSOC"
"109",0.152066501312613,0.851648351648352,1,"Screening DELFI+CA125+HE4",1,1,0.85,"Stage IV HGSOC"
"110",19.89,0.851648351648352,1,"ca125",1,0.954545454545455,0.85,"Stage IV HGSOC"
"111",77.35,0.851648351648352,1,"he4",1,1,0.85,"Stage IV HGSOC"
"112",0.119693767772097,0.802197802197802,1,"Screening DELFI+CA125+HE4",1,0.909090909090909,0.8,"Stage IV HGSOC"
"113",18.035,0.802197802197802,1,"ca125",1,0.954545454545455,0.8,"Stage IV HGSOC"
"114",71.025,0.802197802197802,1,"he4",1,0.909090909090909,0.8,"Stage IV HGSOC"
"115",0.105953537839969,0.752747252747253,1,"Screening DELFI+CA125+HE4",1,0.818181818181818,0.75,"Stage IV HGSOC"
"116",16.885,0.752747252747253,1,"ca125",1,0.909090909090909,0.75,"Stage IV HGSOC"
"117",64.985,0.752747252747253,1,"he4",1,0.909090909090909,0.75,"Stage IV HGSOC"
"118",0.0914161768107754,0.703296703296703,1,"Screening DELFI+CA125+HE4",1,0.681818181818182,0.7,"Stage IV HGSOC"
"119",16.05,0.703296703296703,1,"ca125",1,0.909090909090909,0.7,"Stage IV HGSOC"
"120",60.42,0.703296703296703,1,"he4",1,0.863636363636364,0.7,"Stage IV HGSOC"
